"Reference","Value","Footprint","MPN","Manufacturer","Size","Qty"
"C1,C2,C4,C5,C8,C9,C10,C11,C13,C14,C15,C16,C17,C19,C22,C24,C26","100nF","Capacitor_SMD:C_1206_3216Metric","VJ1206Y104KXQCW1BC","","1206","17"
"C3,C7","4.7uF","Capacitor_SMD:C_1206_3216Metric","1206ZD475KAT4A","","1206","2"
"C6","18nF","Capacitor_SMD:C_1206_3216Metric","VJ1206Y183KXAAC","","1206","1"
"C12","22pF","Capacitor_SMD:C_1206_3216Metric","VJ1206A220JXQPW1BC","","1206","1"
"C18,C21,C23","1nF","Capacitor_SMD:C_1206_3216Metric","GRM31C5C3A102JWA3L","","1206","3"
"C20","50pF","Capacitor_SMD:C_1206_3216Metric","12062A500KAT2A","KYOCERA AVX","1206","1"
"C25","10uF","Capacitor_SMD:C_1206_3216Metric","KAF31GR71C106KU","KYOCERA AVX","1206","1"
"D1","BAV99-7-F","PICO_ADC_Test:SOT95P240X120-3N","BAV99-7-F","","SOT23","1"
"FB1,FB2,FB3,FB4,FB5","ILHB1206ER750V","Inductor_SMD:L_1206_3216Metric","BLM21BB750SN1D","","1206","5"
"IC1","ADC10065CIMT_NOPB","PICO_ADC_Test:SOP65P640X120-28N","ADC10065CIMT/NOPB","","","1"
"IC2","AD8331ARQZ","PICO_ADC_Test:SOP64P600X175-20N","584-AD8331ARQZ","","","1"
"IC3","MCP4812-E_MS","PICO_ADC_Test:MCP4812-EMS","579-MCP4812-E/MS","","","1"
"J1","AMPHENOL_132357-11","PICO_ADC_Test:AMPHENOL_132357-11","142-0701-801","","","1"
"J2,J5,J7","SSQ-101-02-L-Q-RA","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","SSQ-101-02-L-Q-RA","","","3"
"J3","61300611121","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","613012243121","","","1"
"J4","61300411121","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","61300411121","","","1"
"J6","90122-0126","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","613012243121","","","1"
"R1,R10,R11","18R","Resistor_SMD:R_1206_3216Metric","WSL1206R1800FEA","","1206","3"
"R2,R3,R5,R6","10K","Resistor_SMD:R_1206_3216Metric","1206W4F1002T5E","","1206","4"
"R4,R8","100R","Resistor_SMD:R_1206_3216Metric","560112132023","","1206","2"
"R7","280R","Resistor_SMD:R_1206_3216Metric","CR1206-FX-2800ELF","Bourns","1206","1"
"R9","12K","Resistor_SMD:R_1206_3216Metric","CR1206-FX-1202ELF","Bourns","1206","1"
"U1","MD0100N8-G","Package_TO_SOT_SMD:SOT-89-3","MD0100N8-G","","","1"
"U2","Pico","PICO_ADC_Test:RPi_Pico_SMD","Pico","","","1"
