"Comment","Designator","Footprint","MPN","Manufacturer","LCSC Part #"
"22pF","C12","C_1206_3216Metric","VJ1206A220JXQPW1BC","",""
"50pF","C20","C_1206_3216Metric","12062A500KAT2A","KYOCERA AVX",""
"1nF","C18,C21,C23","C_1206_3216Metric","GRM31C5C3A102JWA3L","",""
"10nF","C29,C30,C31","C1206","FCC1206B103K500DT","FOJAN(富捷)",""
"18nF","C6","C_1206_3216Metric","VJ1206Y183KXAAC","",""
"100nF","C1,C2,C4,C5,C8,C9,C10,C11,C13,C14,C15,C16,C17,C19,C22,C24,C26","C_1206_3216Metric","VJ1206Y104KXQCW1BC","",""
"100nF","C27,C28,C32,C33,C36,C37,C38","C1206","CL31B104KBCNNNC","SAMSUNG(三星)",""
"1uF","C34,C35,C39,C42","C1206","CL31B105KBHNNNE","SAMSUNG(三星)",""
"4.7uF","C3,C7","C_1206_3216Metric","1206ZD475KAT4A","",""
"4.7uF","C40,C41","C1206","UMK316AB7475KL-T","TAIYO YUDEN(太诱)",""
"10uF","C25","C_1206_3216Metric","KAF31GR71C106KU","KYOCERA AVX",""
"BAV99","D2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","BAV99","DIODES(美台)",""
"BAV99","D4","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","BAV99-7-F","DIODES(美台)",""
"BAV99-7-F","D1","SOT95P240X120-3N","BAV99-7-F","",""
"Green LED","D3","LED0805-R-RD","NCD0805G1","国星光电",""
"120Ohm 3 A","FB6,FB7","L1206","CBW321609U121T","FH(风华)",""
"ILHB1206ER750V","FB1,FB2,FB3,FB4,FB5","L_1206_3216Metric","BLM21BB750SN1D","",""
"TC74VHC08F_EL,K,F_","H1","SOP-14_L10.2-W5.3-P1.27-LS7.8-BL","TC74VHC08F_EL,K,F_","TOSHIBA(东芝)",""
"AD8331ARQZ","IC2","SOP64P600X175-20N","MD1213K6-G","",""
"ADC10065CIMT_NOPB","IC1","SOP65P640X120-28N","SN74LVC2G04DBVT","",""
"MCP4812-E_MS","IC3","MCP4812-EMS","579-MCP4812-E/MS","",""
"MD1213K6-G","IC4","QFN-12_L4.0-W4.0-P0.80-BL-EP1.7","SN74LVC2G04DBVT","MICROCHIP(美国微芯)",""
"MD1213K6-G","IC5","QFN-12_L4.0-W4.0-P0.80-BL-EP1.7","MD1213K6-G","MICROCHIP(美国微芯)",""
"SN74LVC2G04DBVT","IC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","TC6320TG-G","TI(德州仪器)",""
"SN74LVC2G04DBVT","IC9","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","SN74LVC2G04DBVT","TI(德州仪器)",""
"TC6320TG-G","IC7,IC8","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","TC6320TG-G","MICROCHIP(美国微芯)",""
"61300411121","J4","PinHeader_1x04_P2.54mm_Vertical","61300411121","",""
"61300611021","J9","HDR-TH_6P-P2.54-H-M-W10.3","HX PZ2.54-1x6P WZ","hanxia(韩下)",""
"61300611121","J3","PinSocket_1x06_P2.54mm_Horizontal","61300611021","",""
"90122-0126","J6","PinSocket_2x06_P2.54mm_Horizontal","613012243121","",""
"AMPHENOL_132357-11","J1","AMPHENOL_132357-11","132357-11","",""
"Conn_01x02","J8","HDR-TH_2P-P2.54-H-M-R2-C1_TSW-101-08-XXX-D-RA","HTSW-101-08-T-D-RA","SAMTEC",""
"Conn_01x02_Pin","J11","HDR-TH_2P-P2.54-V-M","PZ254V-11-02P","XFCN(兴飞)",""
"Conn_01x02_Socket","J13","HDR-TH_2P-P2.54-V-F","ZX-PM2.54-1-2PY","Megastar(兆星)",""
"Conn_01x03_Pin","J10","HDR-TH_3P-P2.54-V-M_PZ254V-11-03P","PZ254V-11-03P","XFCN(兴飞)",""
"Conn_01x03_Socket","J14","HDR-TH_3P-P2.54-V-F","HC-PM254-8.5H-1x3PZ-02A","HC(虹成电子)",""
"SSQ-101-02-L-Q-RA","J2,J5,J7","PinHeader_1x02_P2.54mm_Vertical","SSQ-101-02-L-Q-RA","",""
"6.8uH","L1","L1206","ILSB1206ER6R8K","VISHAY(威世)",""
"R2D-0524_P","PS1","PWRM-SMD_R2D-XXXX","R2D-0524","Recom Power",""
"18R","R1,R10,R11","R_1206_3216Metric","WSL1206R1800FEA","",""
"100R","R4,R8","R_1206_3216Metric","560112132023","",""
"280R","R7","R_1206_3216Metric","CR1206-FX-2800ELF","Bourns",""
"1K","R12","R1206","FRC1206J102 TS","FOJAN(富捷)",""
"10K","R13,R14,R15","R1206","FRC1206F1002TS","FOJAN(富捷)",""
"10K","R2,R3,R5,R6","R_1206_3216Metric","1206W4F1002T5E","",""
"12K","R9","R_1206_3216Metric","CR1206-FX-1202ELF","Bourns",""
"MD0100N8-G","U1","SOT-89-3","MD0100N8-G","",""
"Pico","U2","RPi_Pico_SMD","Pico","",""
"VAL**","mouse-bite-3mm-slot","mouse-bite-3mm-slot","","",""
