Designator,Mid X,Mid Y,Layer,Rotation
"C1",-24.0000,16.1750,top,0.0000
"C1",13.8250,73.5750,top,0.0000
"C2",-17.7500,33.1750,top,0.0000
"C2",26.1750,71.1750,top,180.0000
"C3",26.1750,73.5750,top,270.0000
"C3",-5.0000,29.4250,top,0.0000
"C4",-7.2500,29.4250,top,0.0000
"C4",20.6750,70.1750,top,270.0000
"C5",-20.0000,12.4250,top,0.0000
"C5",20.6750,66.6750,top,90.0000
"C6",-17.5000,12.4250,top,0.0000
"C6",33.6750,71.4250,top,270.0000
"C7",2.0000,29.4250,top,0.0000
"C7",33.6750,73.6750,top,270.0000
"C8",13.8750,62.5750,top,270.0000
"C8",-0.2500,29.4250,top,0.0000
"C9",-21.5000,34.1750,top,0.0000
"C9",20.9250,58.9250,top,90.0000
"C10",-32.0750,55.4250,top,90.0000
"C10",-9.3000,12.4500,top,0.0000
"C11",-11.7000,12.4500,top,270.0000
"C11",-35.3250,66.9250,top,90.0000
"C12",-32.5750,73.1750,top,270.0000
"C12",-22.5000,12.4250,top,0.0000
"C13",-19.8250,55.4250,top,180.0000
"C13",-13.5000,48.9250,top,180.0000
"C14",-2.5750,56.9250,top,180.0000
"C14",-13.5000,46.6750,top,90.0000
"C15",7.8250,72.7750,top,180.0000
"C15",-13.5000,44.4250,top,90.0000
"C16",7.8250,67.6250,top,180.0000
"C16",-13.5000,42.1750,top,270.0000
"C17",-7.7500,23.4250,top,0.0000
"C18",-12.0000,19.6750,top,90.0000
"C19",-7.7500,20.9250,top,0.0000
"C20",-14.2500,36.6750,top,270.0000
"C21",-28.5000,29.4250,top,270.0000
"C22",-31.0000,29.4250,top,270.0000
"C23",-26.2500,21.1750,top,90.0000
"C24",-24.0000,21.1750,top,90.0000
"C25",-3.1125,13.7625,top,0.0000
"C26",-3.1375,11.4125,top,0.0000
"D1",-25.5000,11.9250,top,180.0000
"D1",39.1125,63.9250,top,270.0000
"D2",39.1125,60.5250,top,0.0000
"D3",-5.0750,60.6750,top,0.0000
"FB1",18.5750,73.5750,top,90.0000
"FB1",-16.5000,29.4250,top,180.0000
"FB2",18.6250,62.5750,top,0.0000
"FB2",-21.2500,8.6750,top,180.0000
"FB3",-19.0000,29.4250,top,90.0000
"FB4",-33.5000,29.4250,top,270.0000
"FB5",-28.5000,21.1500,top,270.0000
"H1",4.4250,59.2370,top,0.0000
"IC1",3.0250,72.9750,top,0.0000
"IC1",-3.0000,40.1375,top,0.0000
"IC2",14.3250,68.3250,top,90.0000
"IC2",-17.7500,21.1750,top,0.0000
"IC3",-6.9500,17.0500,top,0.0000
"IC3",30.6750,65.6750,top,180.0000
"IC4",3.0250,68.2250,top,270.0000
"IC5",14.3250,57.8250,top,270.0000
"IC6",30.6750,58.9250,top,180.0000
"J1",-21.5000,-1.3250,top,180.0000
"J1",48.2760,64.6750,top,90.0000
"J2",39.2900,24.1750,top,180.0000
"J2",-7.2850,73.0050,top,270.0000
"J3",-9.8250,55.2250,top,180.0000
"J3",39.2900,6.3950,top,180.0000
"J4",2.8000,-0.0750,top,270.0000
"J4",44.1750,73.4250,top,270.0000
"J5",39.2900,1.3050,bottom,90.0000
"J5",-22.0750,73.4250,top,270.0000
"J6",36.7500,29.2550,top,90.0000
"J6",39.0950,55.4250,top,180.0000
"J7",39.2900,47.0350,bottom,270.0000
"J7",-27.1550,55.4250,top,270.0000
"L1",-35.3250,61.4250,top,90.0000
"PS1",-25.0750,64.2500,top,180.0000
"R1",-5.0750,62.9250,top,90.0000
"R1",-2.7500,29.4250,top,0.0000
"R2",-26.0000,29.4250,top,0.0000
"R2",-3.1750,74.2750,top,270.0000
"R3",-23.7500,29.4250,top,0.0000
"R3",-5.0750,69.1750,top,270.0000
"R4",-14.2500,29.4250,top,0.0000
"R4",-5.0750,66.9250,top,90.0000
"R5",-11.7500,29.4250,top,270.0000
"R6",-9.5000,29.4250,top,270.0000
"R7",-15.2500,12.4250,top,90.0000
"R8",-21.5000,29.4250,top,90.0000
"R9",-7.7500,25.6750,top,0.0000
"R10",-17.7500,37.6750,top,180.0000
"R11",-17.7500,35.4250,top,180.0000
"REF**",47.1750,64.6750,top,0.0000
"U1",-27.2500,7.1750,top,0.0000
"U2",21.0000,24.9250,top,0.0000
"mouse-bite-3mm-slot",-15.3250,64.6750,top,90.0000
