Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
B1,IAS0105D24,IAS0105D24,64.999996,-42.750001,180.0,top
B1,IAS0105D24,IAS0105D24,87.749995,-18.500001,180.0,top
B1,IAS0105D24,IAS0105D24,42.249997,-18.500001,180.0,top
B1,IAS0105D24,IAS0105D24,19.499998,-42.750001,180.0,top
B1,IAS0105D24,IAS0105D24,42.249997,-42.750001,180.0,top
B1,IAS0105D24,IAS0105D24,87.749995,-42.750001,180.0,top
B1,IAS0105D24,IAS0105D24,19.499998,-18.500001,180.0,top
B1,IAS0105D24,IAS0105D24,64.999996,-18.500001,180.0,top
C10,4.7uF,C_1206_3216Metric,35.249997,-51.500001,0.0,top
C10,4.7uF,C_1206_3216Metric,12.499998,-51.500001,0.0,top
C10,4.7uF,C_1206_3216Metric,57.999996,-51.500001,0.0,top
C10,4.7uF,C_1206_3216Metric,35.249997,-27.250001,0.0,top
C10,4.7uF,C_1206_3216Metric,12.499998,-27.250001,0.0,top
C10,4.7uF,C_1206_3216Metric,57.999996,-27.250001,0.0,top
C10,4.7uF,C_1206_3216Metric,80.749995,-51.500001,0.0,top
C10,4.7uF,C_1206_3216Metric,80.749995,-27.250001,0.0,top
C11,4.7uF,C_1206_3216Metric,9.249998,-40.000001,-90.0,top
C11,4.7uF,C_1206_3216Metric,31.999997,-15.750001,-90.0,top
C11,4.7uF,C_1206_3216Metric,77.499995,-15.750001,-90.0,top
C11,4.7uF,C_1206_3216Metric,77.499995,-40.000001,-90.0,top
C11,4.7uF,C_1206_3216Metric,54.749996,-15.750001,-90.0,top
C11,4.7uF,C_1206_3216Metric,31.999997,-40.000001,-90.0,top
C11,4.7uF,C_1206_3216Metric,54.749996,-40.000001,-90.0,top
C11,4.7uF,C_1206_3216Metric,9.249998,-15.750001,-90.0,top
C12,1uF,C_1206_3216Metric,34.749997,-9.500001,0.0,top
C12,1uF,C_1206_3216Metric,11.999998,-33.750001,0.0,top
C12,1uF,C_1206_3216Metric,34.749997,-33.750001,0.0,top
C12,1uF,C_1206_3216Metric,57.499996,-9.500001,0.0,top
C12,1uF,C_1206_3216Metric,80.249995,-9.500001,0.0,top
C12,1uF,C_1206_3216Metric,80.249995,-33.750001,0.0,top
C12,1uF,C_1206_3216Metric,11.999998,-9.500001,0.0,top
C12,1uF,C_1206_3216Metric,57.499996,-33.750001,0.0,top
C13,1uF,C_1206_3216Metric,47.499997,-51.500001,180.0,top
C13,1uF,C_1206_3216Metric,70.249996,-27.250001,180.0,top
C13,1uF,C_1206_3216Metric,92.999995,-27.250001,180.0,top
C13,1uF,C_1206_3216Metric,70.249996,-51.500001,180.0,top
C13,1uF,C_1206_3216Metric,92.999995,-51.500001,180.0,top
C13,1uF,C_1206_3216Metric,47.499997,-27.250001,180.0,top
C13,1uF,C_1206_3216Metric,24.749998,-27.250001,180.0,top
C13,1uF,C_1206_3216Metric,24.749998,-51.500001,180.0,top
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,88.209995,-33.500001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,19.959998,-9.250001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,65.459996,-9.250001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,19.959998,-33.500001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,65.459996,-33.500001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,42.709997,-33.500001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,42.709997,-9.250001,90.0,bottom
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,88.209995,-9.250001,90.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,41.439997,-51.500001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,18.689998,-51.500001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,86.939995,-27.250001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,41.439997,-27.250001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,64.189996,-51.500001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,64.189996,-27.250001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,86.939995,-51.500001,270.0,bottom
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,18.689998,-27.250001,270.0,bottom
KiKit_FID_B_1,Fiducial,Fiducial,5.0,-2.5,180.0,bottom
KiKit_FID_B_2,Fiducial,Fiducial,97.999995,-2.5,180.0,bottom
KiKit_FID_B_3,Fiducial,Fiducial,5.0,-58.000001,180.0,bottom
KiKit_FID_T_1,Fiducial,Fiducial,5.0,-2.5,0.0,top
KiKit_FID_T_2,Fiducial,Fiducial,97.999995,-2.5,0.0,top
KiKit_FID_T_3,Fiducial,Fiducial,5.0,-58.000001,0.0,top
L1,6.8uH,L_1206_3216Metric,54.749996,-21.250001,90.0,top
L1,6.8uH,L_1206_3216Metric,9.249998,-21.250001,90.0,top
L1,6.8uH,L_1206_3216Metric,31.999997,-21.250001,90.0,top
L1,6.8uH,L_1206_3216Metric,31.999997,-45.500001,90.0,top
L1,6.8uH,L_1206_3216Metric,77.499995,-45.500001,90.0,top
L1,6.8uH,L_1206_3216Metric,9.249998,-45.500001,90.0,top
L1,6.8uH,L_1206_3216Metric,77.499995,-21.250001,90.0,top
L1,6.8uH,L_1206_3216Metric,54.749996,-45.500001,90.0,top
