Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric,51.399999,20.15,0.0,top
C10,4.7uF,C_1206_3216Metric,5.500002,1.999999,0.0,top
C11,4.7uF,C_1206_3216Metric,2.250002,13.499999,-90.0,top
C12,1uF,C_1206_3216Metric,5.000002,19.749999,0.0,top
C13,1uF,C_1206_3216Metric,17.750002,1.999999,180.0,top
C14,100nF,C_1206_3216Metric,34.999999,3.5,90.0,top
C15,100nF,C_1206_3216Metric,45.399999,19.35,90.0,top
C16,100nF,C_1206_3216Metric,45.399999,14.2,-90.0,top
C2,1uF,C_1206_3216Metric,63.749999,17.75,0.0,top
C3,100nF,C_1206_3216Metric,63.749999,20.15,0.0,top
C4,10nF,C_1206_3216Metric,58.249999,16.75,0.0,top
C5,10nF,C_1206_3216Metric,58.249999,13.25,0.0,top
C6,1uF,C_1206_3216Metric,71.249999,18.0,0.0,top
C7,100nF,C_1206_3216Metric,71.249999,20.25,0.0,top
C8,100nF,C_1206_3216Metric,51.449999,9.15,0.0,top
C9,10nF,C_1206_3216Metric,58.499999,5.5,0.0,top
D1,BAV99,SOT-23,76.687499,10.5,180.0,top
D2,BAV99,SOT-23,76.687499,7.1,180.0,top
D3,Green LED,D_0805_2012Metric,32.499999,7.25,0.0,top
FB1,120Ohm 3 A,L_1206_3216Metric,56.149999,20.15,180.0,top
FB2,120Ohm 3 A,L_1206_3216Metric,56.199999,9.15,180.0,top
H1,"TC74VHC08F_EL,K,F_",SOIC127P780X190-14N,41.999999,5.812,90.0,top
IC1,SN74LVC2G04DBVT,SN74LVC2G04DBV,40.599999,19.55,0.0,top
IC2,MD1213K6-G,MD1213,51.899999,14.9,0.0,top
IC3,TC6320TG-G,SOIC127P600X175-8N,68.249999,12.25,0.0,top
IC4,SN74LVC2G04DBVT,SN74LVC2G04DBV,40.599999,14.8,0.0,top
IC5,MD1213K6-G,MD1213,51.899999,4.4,0.0,top
IC6,TC6320TG-G,SOIC127P600X175-8N,68.249999,5.5,0.0,top
J1,AMPHENOL_132357-11,AMPHENOL_132357-11,84.425999,11.25,180.0,top
J2,Conn_01x02,PinHeader_2x01_P2.54mm_Horizontal,29.019999,19.58,180.0,top
J3,61300611021,PinHeader_1x06_P2.54mm_Horizontal,27.749999,8.15,180.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,79.209999,20.0,-90.0,top
J5,Conn_01x03_Socket,PinSocket_1x03_P2.54mm_Vertical,12.960002,19.999999,90.0,bottom
J6,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,77.939999,2.0,90.0,top
J7,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,11.690002,1.999999,270.0,bottom
L1,6.8uH,L_1206_3216Metric,2.250002,7.999999,90.0,top
PS1,R2D-0524_P,R2D0524P,12.500002,10.824999,180.0,top
R1,1K,R_1206_3216Metric,32.499999,9.5,0.0,top
R2,10K,R_1206_3216Metric,34.399999,20.85,0.0,top
R3,10K,R_1206_3216Metric,32.499999,15.75,0.0,top
R4,10K,R_1206_3216Metric,32.499999,13.5,0.0,top
