Comment,Designator,Footprint,LCSC,Quantity
100nF,C16,C_1206_3216Metric,,1
"TC74VHC08F_EL,K,F_",H1,SOIC127P780X190-14N,,1
4.7uF,C10,C_1206_3216Metric,,1
61300611021,J3,PinHeader_1x06_P2.54mm_Horizontal,,1
MD1213K6-G,IC2,MD1213,,1
10nF,C4,C_1206_3216Metric,,1
100nF,C3,C_1206_3216Metric,,1
6.8uH,L1,L_1206_3216Metric,,1
120Ohm 3 A,FB1,L_1206_3216Metric,,1
100nF,C15,C_1206_3216Metric,,1
Conn_01x02,J2,PinHeader_2x01_P2.54mm_Horizontal,,1
Conn_01x02_Pin,J6,PinHeader_1x02_P2.54mm_Vertical,,1
BAV99,D1,SOT-23,,1
10nF,C9,C_1206_3216Metric,,1
Green LED,D3,D_0805_2012Metric,,1
100nF,C8,C_1206_3216Metric,,1
100nF,C14,C_1206_3216Metric,,1
SN74LVC2G04DBVT,IC1,SN74LVC2G04DBV,,1
1uF,C6,C_1206_3216Metric,,1
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,,1
4.7uF,C11,C_1206_3216Metric,,1
1K,R1,R_1206_3216Metric,,1
AMPHENOL_132357-11,J1,AMPHENOL_132357-11,,1
10nF,C5,C_1206_3216Metric,,1
TC6320TG-G,IC3,SOIC127P600X175-8N,,1
1uF,C12,C_1206_3216Metric,,1
BAV99,D2,SOT-23,,1
120Ohm 3 A,FB2,L_1206_3216Metric,,1
100nF,C7,C_1206_3216Metric,,1
1uF,C2,C_1206_3216Metric,,1
100nF,C1,C_1206_3216Metric,,1
1uF,C13,C_1206_3216Metric,,1
10K,R4,R_1206_3216Metric,,1
MD1213K6-G,IC5,MD1213,,1
TC6320TG-G,IC6,SOIC127P600X175-8N,,1
SN74LVC2G04DBVT,IC4,SN74LVC2G04DBV,,1
10K,R2,R_1206_3216Metric,,1
10K,R3,R_1206_3216Metric,,1
Conn_01x03_Socket,J5,PinSocket_1x03_P2.54mm_Vertical,,1
Conn_01x02_Socket,J7,PinSocket_1x02_P2.54mm_Vertical,,1
R2D-0524_P,PS1,R2D0524P,,1
